Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500023,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Hotels,Equity
500193,HOTELEELA,HOTEL LEELAVENTURE LTD.,Active,B ,2.00,INE102A01024,Hotels,Equity
500314,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.00,INE750A01020,Hotels,Equity
500840,EIHOTEL,EIH LTD.,Active,B ,2.00,INE230A01023,Hotels,Equity
500850,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.00,INE053A01029,Hotels,Equity
503831,FOMEHOT,FOMENTO RESORTS &amp; HOTELS LTD.,Active,XC,10.00,INE241E01014,Hotels,Equity
507836,MCCHRLS-B,MAC CHARLES (INDIA) LTD.,Active,XT,10.00,INE435D01014,Hotels,Equity
507960,GUJHOTE,GUJARAT HOTELS LTD.,Active,XD,10.00,INE621C01011,Hotels,Equity
507966,RASRESOR,RAS RESORTS &amp; APART HOTELS LTD.,Active,XD,10.00,INE651D01016,Hotels,Equity
507981,JINDHOT,JINDAL HOTELS LTD.,Active,XD,10.00,INE726D01016,Hotels,Equity
508664,BESTEAST,BEST EASTERN HOTELS LTD.,Active,XT,1.00,INE553F01035,Hotels,Equity
509438,BENARAS,BENARES HOTELS LTD.,Active,XT,10.00,INE664D01019,Hotels,Equity
509546,GRAVISSHO,GRAVISS HOSPITALITY LTD.,Active,XC,2.00,INE214F01026,Hotels,Equity
512634,SAVERA,SAVERA INDUSTRIES LTD.,Active,XD,10.00,INE104E01014,Hotels,Equity
523023,SINCLAIR,SINCLAIRS HOTELS LTD.-$,Active,XC,10.00,INE985A01014,Hotels,Equity
523127,EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,Active,B ,10.00,INE276C01014,Hotels,Equity
523269,ADVANIHOTR,ADVANI HOTELS &amp; RESORTS (INDIA) LTD.,Active,B ,2.00,INE199C01026,Hotels,Equity
523710,SAYAJIHOTL,SAYAJI HOTELS LTD.,Active,XT,10.00,INE318C01014,Hotels,Equity
523796,VICEROY,VICEROY HOTELS LTD.,Active,B ,10.00,INE048C01017,Hotels,Equity
526085,SGARRES,SAGAR TOURIST RESORTS LTD.,Active,ZP,10.00,NA          ,Hotels,Equity
526373,CINDHO,CINDRELLA HOTELS LTD.-$,Active,XD,10.00,INE908C01012,Hotels,Equity
526500,STRGRENWO,STERLING GREEN WOODS LTD.,Active,XD,10.00,INE398F01019,Hotels,Equity
526550,CCHHL,Country Club Hospitality &amp; Holidays Ltd,Active,B ,2.00,INE652F01027,Hotels,Equity
526558,JAMEHOT,JAMES HOTELS LTD.,Active,XT,10.00,INE510D01014,Hotels,Equity
526640,RAYALEMA,ROYALE MANOR HOTELS &amp; INDUSTRIES LTD.,Active,XT,10.00,INE008C01011,Hotels,Equity
526668,KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.,Active,B ,10.00,INE967C01018,Hotels,Equity
526683,HOTELRUGBY,HOTEL RUGBY LTD.,Active,B ,10.00,INE275F01019,Hotels,Equity
526687,POLOHOT,POLO HOTELS LTD.,Active,XD,10.00,INE084C01012,Hotels,Equity
526755,VELHO,VELAN HOTELS LTD.,Active,XD,10.00,INE548D01014,Hotels,Equity
526761,HOWARHO,HOWARD HOTELS LTD.,Active,XD,10.00,INE931B01016,Hotels,Equity
526959,WOODSVILA,WOODSVILLA LTD.,Active,P ,10.00,INE374J01012,Hotels,Equity
530065,LORDSHOTL,Lords Ishwar Hotels Limited,Active,XT,10.00,INE689J01013,Hotels,Equity
530701,KDJHRL,KDJ Holidayscapes and Resorts Limited,Active,Z ,2.00,INE089E01025,Hotels,Equity
531134,LEWATERIN,Le Waterina Resorts &amp; Hotels Limited,Active,XT,1.00,INE252K01026,Hotels,Equity
531198,DHANADACO,DHANADA CORPORATION LTD.,Active,XT,1.00,INE041F01015,Hotels,Equity
531373,THEBYKE,THE BYKE HOSPITALITY LTD.,Active,B ,10.00,INE319B01014,Hotels,Equity
531495,BLUECOAST,BLUE COAST HOTELS LTD.,Active,B ,10.00,INE472B01011,Hotels,Equity
532124,RELIABVEN,RELIABLE VENTURES INDIA LTD.,Active,XT,10.00,INE419H01019,Hotels,Equity
532145,HOTLSILV,H.S.INDIA LTD.,Active,XD,10.00,INE731B01010,Hotels,Equity
532189,ITDC,INDIA TOURISM DEVELOPMENT CORPORATION LTD.,Active,XC,10.00,INE353K01014,Hotels,Equity
532390,TAJGVK,TAJGVK HOTELS &amp; RESORTS LTD.,Active,B ,2.00,INE586B01026,Hotels,Equity
532699,ROHLTD,ROYAL ORCHID HOTELS LTD.,Active,B ,10.00,INE283H01019,Hotels,Equity
532845,TGBHOTELS,TGB BANQUETS AND HOTELS LTD.,Active,B ,10.00,INE797H01018,Hotels,Equity
532992,CHLLTD,CHL LTD.,Active,XT,2.00,INE790D01020,Hotels,Equity
533088,MHRIL,MAHINDRA HOLIDAYS &amp; RESORTS INDIA LTD.,Active,B ,10.00,INE998I01010,Hotels,Equity
533221,AHLWEST,ASIAN HOTELS (WEST) LTD.,Active,B ,10.00,INE915K01010,Hotels,Equity
533227,AHLEAST,ASIAN HOTELS (EAST) LTD.,Active,B ,10.00,INE926K01017,Hotels,Equity
537839,PHOENIXTN,Phoenix Township Ltd,Active,XT,10.00,INE977M01024,Hotels,Equity
