Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,B ,1.00,INE208C01025,Oil Marketing &amp; Distribution,Equity
500870,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.00,INE172A01027,Oil Marketing &amp; Distribution,Equity
506480,GOCLCORP,GOCL Corporation Ltd-$,Active,B ,2.00,INE077F01035,Oil Marketing &amp; Distribution,Equity
523232,CONTPTR,CONTINENTAL PETROLEUMS LTD.,Active,XT,10.00,INE369D01015,Oil Marketing &amp; Distribution,Equity
524820,PANAMAPET,PANAMA PETROCHEM LTD.,Active,B ,2.00,INE305C01029,Oil Marketing &amp; Distribution,Equity
526829,CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.,Active,XT,1.00,INE552D01024,Oil Marketing &amp; Distribution,Equity
526873,RAJGASES,RAJASTHAN GASES LTD.,Active,XT,10.00,INE184D01018,Oil Marketing &amp; Distribution,Equity
530965,IOC,INDIAN OIL CORPORATION LTD.,Active,A ,10.00,INE242A01010,Oil Marketing &amp; Distribution,Equity
531791,NOVAGOLD,NOVAGOLD PETRO-RESOURCES LTD.,Active,XT,10.00,INE517G01012,Oil Marketing &amp; Distribution,Equity
532522,PETRONET,PETRONET LNG LTD.,Active,A ,10.00,INE347G01014,Oil Marketing &amp; Distribution,Equity
532543,GULFPETRO,GP Petroleums Limited,Active,B ,5.00,INE586G01017,Oil Marketing &amp; Distribution,Equity
533790,KGNENT,KGN ENTERPRISES LTD.,Active,XD,10.00,INE755B01019,Oil Marketing &amp; Distribution,Equity
538567,GULFOILLUB,Gulf Oil Lubricants India Ltd,Active,B ,2.00,INE635Q01029,Oil Marketing &amp; Distribution,Equity
590005,TIDEWATER,TIDE WATER OIL (INDIA) LTD.,Active,B ,5.00,INE484C01022,Oil Marketing &amp; Distribution,Equity
590080,EASTERNGAS,EASTERN GASES LTD.,Active,XD,10.00,INE846C01014,Oil Marketing &amp; Distribution,Equity
