Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500456,PASUPTAC,PASUPATI ACRYLON LTD.,Active,XC,10.00,INE818B01023,Fibres &amp; Plastics,Equity
506858,GUJPETR,GUJARAT PETROSYNTHESE LTD.,Active,XT,10.00,INE636P01011,Fibres &amp; Plastics,Equity
514034,JBFIND,JBF INDUSTRIES LTD.,Active,B ,10.00,INE187A01017,Fibres &amp; Plastics,Equity
514165,INDIANACRY,INDIAN ACRYLICS LTD.,Active,XD,10.00,INE862B01013,Fibres &amp; Plastics,Equity
523736,DPL,Dhunseri Petrochem Limited-$,Active,B ,10.00,INE477B01010,Fibres &amp; Plastics,Equity
524013,HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,Active,XD,10.00,INE806J01013,Fibres &amp; Plastics,Equity
524129,VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.,Active,B ,1.00,INE250B01029,Fibres &amp; Plastics,Equity
526269,CRSTCHM,CRESTCHEM LTD.,Active,XT,10.00,INE293N01016,Fibres &amp; Plastics,Equity
526582,TPLPLAST,TPL PLASTECH LTD.,Active,B ,10.00,INE413G01014,Fibres &amp; Plastics,Equity
530027,AADIIND,AADI INDUSTRIES LTD.,Active,XT,10.00,INE563D01013,Fibres &amp; Plastics,Equity
530133,AMCOIND,AMCO INDIA LTD.-$,Active,XD,10.00,INE924B01011,Fibres &amp; Plastics,Equity
531454,POLYLINK,POLYLINK POLYMERS (INDIA) LTD.,Active,XD,5.00,INE323D01020,Fibres &amp; Plastics,Equity
