Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500366,ROLTA,ROLTA INDIA LTD.,Active,B ,10.00,INE293A01013,Internet Software &amp; Services,Equity
502893,UNITEDINT,UNITED INTERACTIVE LTD.,Active,XD,10.00,INE706D01018,Internet Software &amp; Services,Equity
512018,CNIRESLTD,CNI RESEARCH LTD.,Active,XD,1.00,INE135H01029,Internet Software &amp; Services,Equity
512161,8KMILES,8K MILES SOFTWARE SERVICES LTD.,Active,B ,10.00,INE650K01013,Internet Software &amp; Services,Equity
512405,IPOWER,I-POWER SOLUTIONS INDIA LTD.,Active,XT,10.00,INE468F01010,Internet Software &amp; Services,Equity
519319,AASHEE,AASHEE INFOTECH LTD.,Active,XT,10.00,INE847M01011,Internet Software &amp; Services,Equity
526544,SCANPGEOM,SCANPOINT GEOMATICS LTD.,Active,XD,2.00,INE967B01028,Internet Software &amp; Services,Equity
531621,CENTERAC,CENTERAC TECHNOLOGIES LTD.,Active,XD,1.00,INE157B01026,Internet Software &amp; Services,Equity
532316,SKUMAR,S KUMARS.COM LTD.,Active,XD,10.00,INE827A01018,Internet Software &amp; Services,Equity
532912,NET4,NET 4 INDIA LTD.,Active,T ,10.00,INE553E01012,Internet Software &amp; Services,Equity
533056,VEDAVAAG,VEDAVAAG SYSTEMS LTD.,Active,XD,10.00,INE359B01010,Internet Software &amp; Services,Equity
533181,ISFT,INTRASOFT TECHNOLOGIES LTD.,Active,B ,10.00,INE566K01011,Internet Software &amp; Services,Equity
538837,JSTL,Jeevan Scientific Technology Ltd,Active,XD,10.00,INE237B01018,Internet Software &amp; Services,Equity
539012,MEGRISOFT,Megri Soft Ltd,Active,XD,10.00,INE756R01013,Internet Software &amp; Services,Equity
539807,INFIBEAM,Infibeam Incorporation Ltd,Active,B ,10.00,INE483S01012,Internet Software &amp; Services,Equity
