Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
524622,ISTRNETWK,iStreet Network Limited,Active,XD,4.00,INE532B01020,Internet &amp; Catalogue Retail,Equity
532156,VAIBHAVGBL,Vaibhav Global Ltd,Active,B ,10.00,INE884A01019,Internet &amp; Catalogue Retail,Equity
532777,NAUKRI,INFO EDGE (INDIA) LTD.,Active,A ,10.00,INE663F01024,Internet &amp; Catalogue Retail,Equity
534623,JUPITERIN,JUPITER INFOMEDIA LTD.,Active,B ,10.00,INE524N01014,Internet &amp; Catalogue Retail,Equity
538765,JSHL,JLA Infraville Shoppers Ltd,Active,M ,10.00,INE401Q01018,Internet &amp; Catalogue Retail,Equity
